Ingredient Name,Available
banana,1
zucchini,1
coconut milk,1
marinara sauce,1
parmesan cheese,0
oil,0
Cod,0
egg,0
Pizza dough,0
basil,0
shrimp,0
Almond butter,0
carrots,0
breadcrumbs,0
milk,0
Shrimp,0
mozzarella,0
garlic,0
bell peppers,0
Lentils,0
spinach,0
Cauliflower,0
vinaigrette,0
rosemary,0
hamburger bun,0
saffron,0
mixed vegetables,0
Whole wheat tortilla,0
almond milk,0
olive oil,0
corn tortillas,0
sugar,0
feta cheese,0
Chickpeas,0
balsamic vinegar,0
Ground turkey,0
asparagus,0
chocolate chips,0
Ground beef,0
butter,0
Cottage cheese,0
celery,0
corn,0
Broccoli,0
mussels,0
Portobello mushrooms,0
Kidney beans,0
Salmon,0
cheese,0
onions,0
lemon,0
peas,0
tofu,0
Whey protein,0
lettuce,0
potatoes,0
curry powder,0
Canned tuna,0
black beans,0
mushrooms,0
spices,0
Eggplant,0
tilapia,0
Chicken breast,0
mixed greens,0
Crab meat,0
salsa,0
flour,0
herbs,0
soy sauce,0
tomato sauce,0
tomatoes,0
White fish,0
Beef,0
Arborio rice,0
cabbage,1
quinoa,1
sea salt,0
Rice,0
Pork tenderloin,0
avocado,0
cherry tomatoes,1
Eggs,0
vegetable broth,0
parsley,0
mayonnaise,0
Pasta,0
